State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000000110110    0.11511         [2]             [3]             None            [5]             [6]             [2, 5]          [2, 6]          [3, 6]          [2, 3, 5]       [5, 6]          None           
000000110111    0.13450         [2]             [3]             [1, 3]          [5]             [6]             [2, 5]          [2, 6]          [3, 6]          [1, 3, 6]       [5, 6]          [1, 5, 6]      
000000111000    0.06636         None            None            [4]             [5]             [6]             None            None            [4, 5]          [4, 6]          [5, 6]          None           
000000111001    0.09639         None            None            [4]             [5]             [6]             [1, 6]          None            [4, 5]          [1, 4, 5]       [1, 4, 6]       [1, 5, 6]      
000000111010    0.11171         [2]             None            [4]             [5]             [6]             [2, 5]          [2, 6]          [4, 5]          [4, 6]          [5, 6]          [2, 4, 6]      
000000111011    0.12574         [2]             [1, 2]          [4]             [5]             [6]             [1, 6]          [2, 6]          [4, 5]          [4, 6]          [5, 6]          [1, 5, 6]      
000000111100    0.10275         None            [3]             [4]             [5]             [6]             [3, 4]          [3, 5]          [3, 6]          [4, 6]          [5, 6]          [3, 4, 5]      
000000111101    0.11800         None            [3]             [4]             [5]             [6]             [1, 6]          [3, 5]          [4, 5]          [4, 6]          [5, 6]          [1, 5, 6]      
000000111110    0.11598         [2]             [3]             [4]             [5]             [6]             [3, 4]          [2, 6]          [3, 6]          [4, 6]          [5, 6]          [2, 4, 6]      
000000111111    0.13394         [2]             [3]             [4]             [5]             [6]             [1, 6]          [3, 5]          [3, 6]          [4, 6]          [5, 6]          [1, 5, 6]      
000001000000    0.16667         None            None            None            None            None            [7]             None            None            None            None            None           
000001000001    0.13889         None            None            None            None            None            [7]             [1, 7]          None            None            None            None           
000001000010    0.12037         [2]             None            None            None            None            [7]             None            [2, 7]          None            None            None           
000001000011    0.10957         [2]             [1, 2]          None            None            None            [7]             [1, 7]          [2, 7]          [1, 2, 7]       None            None           
000001000100    0.10185         None            [3]             None            None            None            [7]             None            None            [3, 7]          None            None           
000001000101    0.09877         None            [3]             [1, 3]          None            None            [7]             [1, 7]          None            [3, 7]          [1, 3, 7]       None           
000001000110    0.08333         [2]             [3]             None            [2, 3]          None            [7]             None            [2, 7]          [3, 7]          None            [2, 3, 7]      
000001000111    0.11317         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       [7]             [1, 7]          [2, 7]          [1, 2, 7]       [1, 3, 7]       [2, 3, 7]      
000001001000    0.08333         None            None            [4]             None            None            [7]             None            None            None            [4, 7]          None           
000001001001    0.08796         None            None            [4]             [1, 4]          None            [7]             [1, 7]          None            None            [4, 7]          [1, 4, 7]      
000001001010    0.07022         [2]             None            [4]             None            [2, 4]          [7]             None            [2, 7]          None            [4, 7]          None           
000001001011    0.12230         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [7]             [1, 7]          [2, 7]          [1, 2, 7]       [4, 7]          [1, 4, 7]      
000001001100    0.05247         None            [3]             [4]             None            None            [7]             None            None            [3, 7]          [4, 7]          None           
000001001101    0.09066         None            [3]             [4]             [1, 4]          None            [7]             [1, 7]          None            [3, 7]          [1, 3, 7]       [1, 4, 7]      
000001001110    0.10172         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             None            [2, 7]          [3, 7]          [4, 7]          [2, 3, 7]      
000001001111    0.13242         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             [1, 7]          [2, 7]          [3, 7]          [4, 7]          [1, 4, 7]      
000001010000    0.06481         None            None            None            [5]             None            [7]             None            None            None            None            [5, 7]         
000001010001    0.07716         None            None            None            [5]             [1, 5]          [7]             [1, 7]          None            None            None            [5, 7]         
000001010010    0.05710         [2]             None            None            [5]             None            [7]             None            [2, 7]          None            None            [5, 7]         
000001010011    0.11137         [2]             [1, 2]          None            [5]             [1, 5]          [7]             [1, 7]          [2, 7]          [1, 2, 7]       None            [5, 7]         
000001010100    0.07407         None            [3]             None            [5]             None            [7]             [3, 5]          None            [3, 7]          None            [5, 7]         
000001010101    0.11857         None            [3]             [1, 3]          [5]             [1, 5]          [7]             [1, 7]          [1, 3, 5]       [3, 7]          [1, 3, 7]       [5, 7]         
000001010110    0.08608         [2]             [3]             None            [5]             None            [7]             [3, 5]          [2, 7]          [3, 7]          None            [5, 7]         
000001010111    0.12178         [2]             [3]             [1, 3]          [5]             [1, 5]          [7]             [1, 7]          [2, 7]          [3, 7]          [1, 3, 7]       [5, 7]         
000001011000    0.06327         None            None            [4]             [5]             None            [7]             None            [4, 5]          None            [4, 7]          [5, 7]         
000001011001    0.10571         None            None            [4]             [5]             [1, 5]          [7]             [1, 7]          [4, 5]          [1, 4, 5]       [4, 7]          [1, 4, 7]      
000001011010    0.07163         [2]             None            [4]             [5]             [2, 4]          [7]             None            [2, 7]          None            [4, 7]          [5, 7]         
000001011011    0.11658         [2]             [1, 2]          [4]             [5]             [2, 4]          [7]             [1, 7]          [2, 7]          [1, 2, 7]       [4, 7]          [5, 7]         
000001011100    0.07973         None            [3]             [4]             [5]             None            [7]             [3, 5]          [4, 5]          [3, 7]          [4, 7]          [5, 7]         
000001011101    0.09967         None            [3]             [4]             [5]             [1, 5]          [7]             [1, 7]          [4, 5]          [3, 7]          [4, 7]          [5, 7]         
000001011110    0.09931         [2]             [3]             [4]             [5]             [2, 4]          [7]             [3, 5]          [2, 7]          [3, 7]          [4, 7]          [5, 7]         
000001011111    0.12799         [2]             [3]             [4]             [5]             [2, 4]          [7]             [1, 7]          [4, 5]          [3, 7]          [4, 7]          [5, 7]         
000001100000    0.04630         None            None            None            None            [6]             [7]             None            None            None            None            None           
000001100001    0.06636         None            None            None            None            [6]             [1, 6]          [1, 7]          None            None            None            None           
000001100010    0.08102         [2]             None            None            None            [6]             [7]             [2, 6]          [2, 7]          None            None            None           
