State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
001110110100    0.00575         None            [3]             None            [5]             [6]             None            [8]             [9]             [10]            [5, 6]          [3, 9]         
001110110101    0.01495         None            [3]             [1, 3]          [5]             [6]             [1, 6]          [8]             [9]             [10]            [1, 10]         [3, 9]         
001110110110    0.01276         [2]             [3]             None            [5]             [6]             [2, 5]          [8]             [9]             [10]            [3, 8]          [3, 9]         
001110110111    0.02653         [2]             [3]             [1, 3]          [5]             [6]             [2, 5]          [8]             [9]             [10]            [1, 10]         [2, 10]        
001110111000    0.00463         None            None            [4]             [5]             [6]             None            [8]             [9]             [10]            [5, 6]          [4, 8]         
001110111001    0.01179         None            None            [4]             [5]             [6]             [1, 6]          [8]             [9]             [10]            [1, 10]         [4, 8]         
001110111010    0.01119         [2]             None            [4]             [5]             [6]             [2, 5]          [8]             [9]             [10]            [2, 9]          [4, 8]         
001110111011    0.02427         [2]             [1, 2]          [4]             [5]             [6]             [2, 5]          [8]             [9]             [10]            [1, 10]         [2, 10]        
001110111100    0.00959         None            [3]             [4]             [5]             [6]             [3, 4]          [8]             [9]             [10]            [5, 6]          [3, 9]         
001110111101    0.02116         None            [3]             [4]             [5]             [6]             [3, 4]          [8]             [9]             [10]            [1, 10]         [3, 9]         
001110111110    0.01934         [2]             [3]             [4]             [5]             [6]             [3, 4]          [8]             [9]             [10]            [2, 9]          [2, 10]        
001110111111    0.03644         [2]             [3]             [4]             [5]             [6]             [3, 4]          [8]             [9]             [10]            [1, 10]         [2, 10]        
001111000000    0.00514         None            None            None            None            None            [7]             [8]             [9]             [10]            None            None           
001111000001    0.00956         None            None            None            None            None            [7]             [8]             [9]             [10]            [1, 10]         None           
001111000010    0.00826         [2]             None            None            None            None            [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111000011    0.01217         [2]             [1, 2]          None            None            None            [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111000100    0.00606         None            [3]             None            None            None            [7]             [8]             [9]             [10]            [3, 8]          [3, 9]         
001111000101    0.01089         None            [3]             [1, 3]          None            None            [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111000110    0.00935         [2]             [3]             None            [2, 3]          None            [7]             [8]             [9]             [10]            [3, 8]          [2, 10]        
001111000111    0.01891         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111001000    0.00489         None            None            [4]             None            None            [7]             [8]             [9]             [10]            [4, 7]          [4, 8]         
001111001001    0.01017         None            None            [4]             [1, 4]          None            [7]             [8]             [9]             [10]            [1, 10]         [4, 8]         
001111001010    0.00917         [2]             None            [4]             None            [2, 4]          [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111001011    0.02021         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111001100    0.00625         None            [3]             [4]             None            None            [7]             [8]             [9]             [10]            [4, 7]          [3, 9]         
001111001101    0.01375         None            [3]             [4]             [1, 4]          None            [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111001110    0.01390         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             [8]             [9]             [10]            [3, 8]          [2, 10]        
001111001111    0.02607         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111010000    0.00372         None            None            None            [5]             None            [7]             [8]             [9]             [10]            None            [5, 7]         
001111010001    0.01012         None            None            None            [5]             [1, 5]          [7]             [8]             [9]             [10]            [1, 10]         [5, 7]         
001111010010    0.00750         [2]             None            None            [5]             None            [7]             [8]             [9]             [10]            [2, 9]          [5, 7]         
001111010011    0.01763         [2]             [1, 2]          None            [5]             [1, 5]          [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111010100    0.00581         None            [3]             None            [5]             None            [7]             [8]             [9]             [10]            [3, 8]          [3, 9]         
001111010101    0.01474         None            [3]             [1, 3]          [5]             [1, 5]          [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111010110    0.01021         [2]             [3]             None            [5]             None            [7]             [8]             [9]             [10]            [3, 8]          [2, 10]        
001111010111    0.02367         [2]             [3]             [1, 3]          [5]             [1, 5]          [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111011000    0.00471         None            None            [4]             [5]             None            [7]             [8]             [9]             [10]            [4, 7]          [4, 8]         
001111011001    0.01202         None            None            [4]             [5]             [1, 5]          [7]             [8]             [9]             [10]            [1, 10]         [4, 8]         
001111011010    0.01069         [2]             None            [4]             [5]             [2, 4]          [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111011011    0.02331         [2]             [1, 2]          [4]             [5]             [2, 4]          [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111011100    0.00773         None            [3]             [4]             [5]             None            [7]             [8]             [9]             [10]            [3, 8]          [3, 9]         
001111011101    0.01856         None            [3]             [4]             [5]             [1, 5]          [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111011110    0.01681         [2]             [3]             [4]             [5]             [2, 4]          [7]             [8]             [9]             [10]            [2, 9]          [3, 9]         
001111011111    0.03322         [2]             [3]             [4]             [5]             [2, 4]          [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111100000    0.00357         None            None            None            None            [6]             [7]             [8]             [9]             [10]            None            None           
001111100001    0.00878         None            None            None            None            [6]             [7]             [8]             [9]             [10]            [1, 10]         None           
001111100010    0.00762         [2]             None            None            None            [6]             [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111100011    0.01461         [2]             [1, 2]          None            None            [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111100100    0.00583         None            [3]             None            None            [6]             [7]             [8]             [9]             [10]            [3, 8]          [3, 9]         
001111100101    0.01286         None            [3]             [1, 3]          None            [6]             [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111100110    0.01129         [2]             [3]             None            [2, 3]          [6]             [7]             [8]             [9]             [10]            [3, 8]          [2, 10]        
001111100111    0.02301         [2]             [3]             [1, 3]          [2, 3]          [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111101000    0.00476         None            None            [4]             None            [6]             [7]             [8]             [9]             [10]            [4, 7]          [4, 8]         
001111101001    0.01192         None            None            [4]             [1, 4]          [6]             [7]             [8]             [9]             [10]            [1, 10]         [4, 8]         
001111101010    0.00908         [2]             None            [4]             None            [6]             [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111101011    0.02183         [2]             [1, 2]          [4]             [1, 4]          [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111101100    0.00750         None            [3]             [4]             None            [6]             [7]             [8]             [9]             [10]            [4, 7]          [3, 9]         
001111101101    0.01803         None            [3]             [4]             [1, 4]          [6]             [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111101110    0.01594         [2]             [3]             [4]             [2, 3]          [6]             [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111101111    0.03157         [2]             [3]             [4]             [2, 3]          [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111110000    0.00441         None            None            None            [5]             [6]             [7]             [8]             [9]             [10]            [5, 6]          [5, 7]         
001111110001    0.01047         None            None            None            [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [5, 7]         
001111110010    0.00910         [2]             None            None            [5]             [6]             [7]             [8]             [9]             [10]            [5, 6]          [2, 10]        
001111110011    0.01924         [2]             [1, 2]          None            [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111110100    0.00714         None            [3]             None            [5]             [6]             [7]             [8]             [9]             [10]            [5, 6]          [3, 9]         
001111110101    0.01709         None            [3]             [1, 3]          [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111110110    0.01381         [2]             [3]             None            [5]             [6]             [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111110111    0.02913         [2]             [3]             [1, 3]          [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111111000    0.00591         None            None            [4]             [5]             [6]             [7]             [8]             [9]             [10]            [5, 6]          [4, 8]         
001111111001    0.01401         None            None            [4]             [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [4, 8]         
001111111010    0.01260         [2]             None            [4]             [5]             [6]             [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111111011    0.02705         [2]             [1, 2]          [4]             [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
001111111100    0.01054         None            [3]             [4]             [5]             [6]             [7]             [8]             [9]             [10]            [5, 6]          [3, 9]         
001111111101    0.02340         None            [3]             [4]             [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [3, 9]         
001111111110    0.02121         [2]             [3]             [4]             [5]             [6]             [7]             [8]             [9]             [10]            [2, 9]          [2, 10]        
001111111111    0.04044         [2]             [3]             [4]             [5]             [6]             [7]             [8]             [9]             [10]            [1, 10]         [2, 10]        
010000000000    0.05556         None            None            None            None            None            None            None            None            None            [11]            None           
010000000001    0.02778         None            None            None            None            None            None            None            None            None            [11]            [1, 11]        
010000000010    0.00309         [2]             None            None            None            None            None            None            None            None            [11]            None           
010000000011    0.00772         [2]             [1, 2]          None            None            None            None            None            None            None            [11]            [1, 11]        
010000000100    0.00617         None            [3]             None            None            None            None            None            None            None            [11]            None           
010000000101    0.01235         None            [3]             [1, 3]          None            None            None            None            None            None            [11]            [1, 11]        
010000000110    0.01286         [2]             [3]             None            [2, 3]          None            None            None            None            None            [11]            None           
010000000111    0.02315         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       None            None            None            None            [11]            [1, 11]        
010000001000    0.00926         None            None            [4]             None            None            None            None            None            None            [11]            None           
010000001001    0.01698         None            None            [4]             [1, 4]          None            None            None            None            None            [11]            [1, 11]        
010000001010    0.01620         [2]             None            [4]             None            [2, 4]          None            None            None            None            [11]            None           
010000001011    0.02919         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [1, 2, 4]       None            None            None            [11]            [1, 11]        
010000001100    0.02006         None            [3]             [4]             None            None            [3, 4]          None            None            None            [11]            None           
010000001101    0.02868         None            [3]             [4]             [1, 4]          None            [3, 4]          [1, 3, 4]       None            None            [11]            [1, 11]        
010000001110    0.01972         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          None            [2, 3, 4]       None            [11]            None           
010000001111    0.02988         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          [1, 3, 4]       [2, 3, 4]       [1, 2, 3, 4]    [11]            [1, 11]        
010000010000    0.01235         None            None            None            [5]             None            None            None            None            None            [11]            None           
010000010001    0.02160         None            None            None            [5]             [1, 5]          None            None            None            None            [11]            [1, 11]        
010000010010    0.01955         [2]             None            None            [5]             None            [2, 5]          None            None            None            [11]            None           
010000010011    0.02855         [2]             [1, 2]          None            [5]             [1, 5]          [2, 5]          [1, 2, 5]       None            None            [11]            [1, 11]        
010000010100    0.01749         None            [3]             None            [5]             None            None            [3, 5]          None            None            [11]            None           
010000010101    0.02675         None            [3]             [1, 3]          [5]             [1, 5]          None            [3, 5]          [1, 3, 5]       None            [11]            [1, 11]        
010000010110    0.01592         [2]             [3]             None            [5]             None            [2, 5]          [3, 5]          None            [2, 3, 5]       [11]            None           
010000010111    0.02528         [2]             [3]             [1, 3]          [5]             [1, 5]          [2, 5]          [3, 5]          [1, 3, 5]       [2, 3, 5]       [11]            [1, 11]        
010000011000    0.01543         None            None            [4]             [5]             None            None            None            [4, 5]          None            [11]            None           
010000011001    0.02289         None            None            [4]             [5]             [1, 5]          None            None            [4, 5]          [1, 4, 5]       [11]            [1, 11]        
010000011010    0.01423         [2]             None            [4]             [5]             [2, 4]          [2, 5]          None            [4, 5]          None            [11]            None           
010000011011    0.02597         [2]             [1, 2]          [4]             [5]             [2, 4]          [2, 5]          [1, 2, 5]       [4, 5]          [1, 4, 5]       [11]            [1, 11]        
010000011100    0.01586         None            [3]             [4]             [5]             None            [3, 4]          [3, 5]          [4, 5]          None            [11]            [3, 4, 5]      
010000011101    0.02648         None            [3]             [4]             [5]             [1, 5]          [3, 4]          [3, 5]          [4, 5]          [1, 4, 5]       [11]            [1, 11]        
010000011110    0.02233         [2]             [3]             [4]             [5]             [2, 4]          [2, 5]          [3, 5]          [4, 5]          [2, 3, 5]       [11]            [3, 4, 5]      
010000011111    0.03576         [2]             [3]             [4]             [5]             [2, 4]          [2, 5]          [3, 5]          [4, 5]          [2, 3, 5]       [11]            [1, 11]        
010000100000    0.01543         None            None            None            None            [6]             None            None            None            None            [11]            None           
010000100001    0.02623         None            None            None            None            [6]             [1, 6]          None            None            None            [11]            [1, 11]        
010000100010    0.01672         [2]             None            None            None            [6]             None            [2, 6]          None            None            [11]            None           
010000100011    0.02482         [2]             [1, 2]          None            None            [6]             [1, 6]          [2, 6]          [1, 2, 6]       None            [11]            [1, 11]        
010000100100    0.01492         None            [3]             None            None            [6]             None            None            [3, 6]          None            [11]            None           
010000100101    0.02366         None            [3]             [1, 3]          None            [6]             [1, 6]          None            [3, 6]          [1, 3, 6]       [11]            [1, 11]        
010000100110    0.01212         [2]             [3]             None            [2, 3]          [6]             None            [2, 6]          [3, 6]          None            [11]            None           
010000100111    0.02473         [2]             [3]             [1, 3]          [2, 3]          [6]             [1, 6]          [2, 6]          [3, 6]          [1, 3, 6]       [11]            [1, 11]        
010000101000    0.01312         None            None            [4]             None            [6]             None            None            None            [4, 6]          [11]            None           
010000101001    0.01942         None            None            [4]             [1, 4]          [6]             [1, 6]          None            None            [4, 6]          [11]            [1, 11]        
010000101010    0.01136         [2]             None            [4]             None            [6]             None            [2, 6]          None            [4, 6]          [11]            [2, 4, 6]      
010000101011    0.02460         [2]             [1, 2]          [4]             [1, 4]          [6]             [1, 6]          [2, 6]          [1, 2, 6]       [4, 6]          [11]            [1, 11]        
010000101100    0.01320         None            [3]             [4]             None            [6]             [3, 4]          None            [3, 6]          [4, 6]          [11]            None           
010000101101    0.02716         None            [3]             [4]             [1, 4]          [6]             [3, 4]          [1, 3, 4]       [3, 6]          [4, 6]          [11]            [1, 11]        
010000101110    0.02201         [2]             [3]             [4]             [2, 3]          [6]             [3, 4]          [2, 6]          [3, 6]          [4, 6]          [11]            [2, 4, 6]      
010000101111    0.03531         [2]             [3]             [4]             [2, 3]          [6]             [3, 4]          [2, 6]          [3, 6]          [4, 6]          [11]            [1, 11]        
010000110000    0.00823         None            None            None            [5]             [6]             None            None            None            None            [11]            None           
010000110001    0.01505         None            None            None            [5]             [6]             [1, 6]          None            None            None            [11]            [1, 11]        
010000110010    0.01369         [2]             None            None            [5]             [6]             [2, 5]          [2, 6]          None            None            [11]            None           
010000110011    0.02468         [2]             [1, 2]          None            [5]             [6]             [2, 5]          [2, 6]          [1, 2, 6]       None            [11]            [1, 11]        
010000110100    0.01220         None            [3]             None            [5]             [6]             None            [3, 5]          [3, 6]          None            [11]            None           
010000110101    0.02688         None            [3]             [1, 3]          [5]             [6]             [1, 6]          [3, 5]          [3, 6]          [1, 3, 6]       [11]            [1, 11]        
010000110110    0.01943         [2]             [3]             None            [5]             [6]             [2, 5]          [2, 6]          [3, 6]          [2, 3, 5]       [11]            None           
010000110111    0.03320         [2]             [3]             [1, 3]          [5]             [6]             [2, 5]          [2, 6]          [3, 6]          [2, 3, 5]       [11]            [1, 11]        
010000111000    0.01072         None            None            [4]             [5]             [6]             None            None            [4, 5]          [4, 6]          [11]            None           
010000111001    0.02108         None            None            [4]             [5]             [6]             [1, 6]          None            [4, 5]          [4, 6]          [11]            [1, 11]        
010000111010    0.01904         [2]             None            [4]             [5]             [6]             [2, 5]          [2, 6]          [4, 5]          [4, 6]          [11]            [2, 4, 6]      
010000111011    0.03122         [2]             [1, 2]          [4]             [5]             [6]             [2, 5]          [2, 6]          [4, 5]          [4, 6]          [11]            [1, 11]        
010000111100    0.01779         None            [3]             [4]             [5]             [6]             [3, 4]          [3, 5]          [3, 6]          [4, 6]          [11]            [3, 4, 5]      
010000111101    0.02971         None            [3]             [4]             [5]             [6]             [1, 6]          [3, 5]          [4, 5]          [4, 6]          [11]            [1, 11]        
010000111110    0.02304         [2]             [3]             [4]             [5]             [6]             [3, 4]          [2, 6]          [3, 6]          [4, 6]          [11]            [2, 4, 6]      
010000111111    0.03808         [2]             [3]             [4]             [5]             [6]             [2, 5]          [2, 6]          [3, 6]          [4, 6]          [11]            [1, 11]        
010001000000    0.01852         None            None            None            None            None            [7]             None            None            None            [11]            None           
010001000001    0.02469         None            None            None            None            None            [7]             [1, 7]          None            None            [11]            [1, 11]        
010001000010    0.01389         [2]             None            None            None            None            [7]             None            [2, 7]          None            [11]            None           
010001000011    0.02058         [2]             [1, 2]          None            None            None            [7]             [1, 7]          [2, 7]          [1, 2, 7]       [11]            [1, 11]        
010001000100    0.01235         None            [3]             None            None            None            [7]             None            None            [3, 7]          [11]            None           
010001000101    0.01646         None            [3]             [1, 3]          None            None            [7]             [1, 7]          None            [3, 7]          [11]            [1, 11]        
010001000110    0.01243         [2]             [3]             None            [2, 3]          None            [7]             None            [2, 7]          [3, 7]          [11]            [2, 3, 7]      
010001000111    0.02433         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       [7]             [1, 7]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001001000    0.00772         None            None            [4]             None            None            [7]             None            None            None            [11]            None           
010001001001    0.01543         None            None            [4]             [1, 4]          None            [7]             [1, 7]          None            None            [11]            [1, 11]        
010001001010    0.01157         [2]             None            [4]             None            [2, 4]          [7]             None            [2, 7]          None            [11]            None           
010001001011    0.02606         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [7]             [1, 7]          [2, 7]          [1, 2, 7]       [11]            [1, 11]        
010001001100    0.00849         None            [3]             [4]             None            None            [7]             None            None            [3, 7]          [11]            None           
010001001101    0.01908         None            [3]             [4]             [1, 4]          None            [7]             [1, 7]          None            [3, 7]          [11]            [1, 11]        
010001001110    0.01726         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             None            [2, 7]          [3, 7]          [11]            [2, 3, 7]      
010001001111    0.03153         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             [1, 7]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001010000    0.00926         None            None            None            [5]             None            [7]             None            None            None            [11]            [5, 7]         
010001010001    0.01672         None            None            None            [5]             [1, 5]          [7]             [1, 7]          None            None            [11]            [1, 11]        
010001010010    0.00969         [2]             None            None            [5]             None            [7]             None            [2, 7]          None            [11]            [5, 7]         
010001010011    0.02387         [2]             [1, 2]          None            [5]             [1, 5]          [7]             [1, 7]          [2, 7]          [1, 2, 7]       [11]            [1, 11]        
010001010100    0.01269         None            [3]             None            [5]             None            [7]             [3, 5]          None            [3, 7]          [11]            [5, 7]         
010001010101    0.02563         None            [3]             [1, 3]          [5]             [1, 5]          [7]             [3, 5]          [1, 3, 5]       [3, 7]          [11]            [1, 11]        
010001010110    0.01557         [2]             [3]             None            [5]             None            [7]             [3, 5]          [2, 7]          [3, 7]          [11]            [5, 7]         
010001010111    0.02885         [2]             [3]             [1, 3]          [5]             [1, 5]          [7]             [3, 5]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001011000    0.01003         None            None            [4]             [5]             None            [7]             None            [4, 5]          None            [11]            [5, 7]         
010001011001    0.02206         None            None            [4]             [5]             [1, 5]          [7]             [1, 7]          [4, 5]          [1, 4, 5]       [11]            [1, 11]        
010001011010    0.01217         [2]             None            [4]             [5]             [2, 4]          [7]             None            [2, 7]          None            [11]            [5, 7]         
010001011011    0.02698         [2]             [1, 2]          [4]             [5]             [2, 4]          [7]             [1, 7]          [2, 7]          [1, 2, 7]       [11]            [1, 11]        
010001011100    0.01392         None            [3]             [4]             [5]             None            [7]             [3, 5]          [4, 5]          [3, 7]          [11]            [5, 7]         
010001011101    0.02476         None            [3]             [4]             [5]             [1, 5]          [7]             [1, 7]          [4, 5]          [3, 7]          [11]            [1, 11]        
010001011110    0.02038         [2]             [3]             [4]             [5]             [2, 4]          [7]             [3, 5]          [2, 7]          [3, 7]          [11]            [5, 7]         
010001011111    0.03621         [2]             [3]             [4]             [5]             [2, 4]          [7]             [3, 5]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001100000    0.00772         None            None            None            None            [6]             [7]             None            None            None            [11]            None           
010001100001    0.01492         None            None            None            None            [6]             [7]             [1, 7]          None            None            [11]            [1, 11]        
010001100010    0.01372         [2]             None            None            None            [6]             [7]             [2, 6]          [2, 7]          None            [11]            None           
010001100011    0.02287         [2]             [1, 2]          None            None            [6]             [7]             [2, 6]          [2, 7]          [1, 2, 7]       [11]            [1, 11]        
010001100100    0.01175         None            [3]             None            None            [6]             [7]             None            [3, 6]          [3, 7]          [11]            None           
010001100101    0.02196         None            [3]             [1, 3]          None            [6]             [7]             [1, 7]          [3, 6]          [3, 7]          [11]            [1, 11]        
010001100110    0.01616         [2]             [3]             None            [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [11]            [2, 3, 7]      
010001100111    0.02804         [2]             [3]             [1, 3]          [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001101000    0.00849         None            None            [4]             None            [6]             [7]             None            None            [4, 6]          [11]            None           
010001101001    0.01740         None            None            [4]             [1, 4]          [6]             [7]             [1, 7]          None            [4, 6]          [11]            [1, 11]        
010001101010    0.01336         [2]             None            [4]             None            [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [11]            [2, 4, 6]      
010001101011    0.02605         [2]             [1, 2]          [4]             [1, 4]          [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [11]            [1, 11]        
010001101100    0.00979         None            [3]             [4]             None            [6]             [7]             None            [3, 6]          [3, 7]          [11]            None           
010001101101    0.02317         None            [3]             [4]             [1, 4]          [6]             [7]             [1, 7]          [3, 6]          [3, 7]          [11]            [1, 11]        
010001101110    0.01827         [2]             [3]             [4]             [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [11]            [2, 3, 7]      
010001101111    0.03397         [2]             [3]             [4]             [2, 3]          [6]             [7]             [1, 7]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001110000    0.00626         None            None            None            [5]             [6]             [7]             None            None            None            [11]            [5, 7]         
010001110001    0.01192         None            None            None            [5]             [6]             [7]             [1, 7]          None            None            [11]            [1, 11]        
010001110010    0.01139         [2]             None            None            [5]             [6]             [7]             [2, 6]          [2, 7]          None            [11]            [5, 7]         
010001110011    0.02179         [2]             [1, 2]          None            [5]             [6]             [7]             [2, 6]          [2, 7]          [1, 2, 7]       [11]            [1, 11]        
010001110100    0.01213         None            [3]             None            [5]             [6]             [7]             [3, 5]          [3, 6]          [3, 7]          [11]            [5, 7]         
010001110101    0.02356         None            [3]             [1, 3]          [5]             [6]             [7]             [3, 5]          [3, 6]          [3, 7]          [11]            [1, 11]        
010001110110    0.01740         [2]             [3]             None            [5]             [6]             [7]             [3, 5]          [2, 7]          [3, 7]          [11]            [5, 7]         
010001110111    0.03263         [2]             [3]             [1, 3]          [5]             [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [11]            [1, 11]        
010001111000    0.00929         None            None            [4]             [5]             [6]             [7]             None            [4, 5]          [4, 6]          [11]            [5, 7]         
010001111001    0.01957         None            None            [4]             [5]             [6]             [7]             [1, 7]          [4, 5]          [4, 6]          [11]            [1, 11]        
010001111010    0.01564         [2]             None            [4]             [5]             [6]             [7]             [2, 6]          [4, 5]          [4, 6]          [11]            [5, 7]         
010001111011    0.03023         [2]             [1, 2]          [4]             [5]             [6]             [7]             [2, 6]          [4, 5]          [4, 6]          [11]            [1, 11]        
010001111100    0.01529         None            [3]             [4]             [5]             [6]             [7]             [3, 5]          [4, 5]          [4, 6]          [11]            [5, 7]         
010001111101    0.02867         None            [3]             [4]             [5]             [6]             [7]             [1, 7]          [3, 6]          [4, 6]          [11]            [1, 11]        
010001111110    0.02296         [2]             [3]             [4]             [5]             [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [11]            [5, 7]         
010001111111    0.03940         [2]             [3]             [4]             [5]             [6]             [7]             [3, 5]          [2, 7]          [3, 7]          [11]            [1, 11]        
010010000000    0.01543         None            None            None            None            None            None            [8]             None            None            [11]            None           
010010000001    0.02006         None            None            None            None            None            None            [8]             [1, 8]          None            [11]            [1, 11]        
010010000010    0.01055         [2]             None            None            None            None            None            [8]             None            [2, 8]          [11]            None           
010010000011    0.01196         [2]             [1, 2]          None            None            None            None            [8]             [1, 8]          [2, 8]          [11]            [1, 11]        
010010000100    0.00566         None            [3]             None            None            None            None            [8]             None            None            [11]            None           
010010000101    0.01029         None            [3]             [1, 3]          None            None            None            [8]             [1, 8]          None            [11]            [1, 11]        
010010000110    0.00723         [2]             [3]             None            [2, 3]          None            None            [8]             None            [2, 8]          [11]            None           
010010000111    0.01806         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       None            [8]             [1, 8]          [2, 8]          [11]            [1, 11]        
010010001000    0.00694         None            None            [4]             None            None            None            [8]             None            None            [11]            [4, 8]         
010010001001    0.01093         None            None            [4]             [1, 4]          None            None            [8]             [1, 8]          None            [11]            [1, 11]        
010010001010    0.00943         [2]             None            [4]             None            [2, 4]          None            [8]             None            [2, 8]          [11]            [4, 8]         
010010001011    0.02348         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [1, 2, 4]       [8]             [1, 8]          [2, 8]          [11]            [1, 11]        
010010001100    0.00986         None            [3]             [4]             None            None            [3, 4]          [8]             None            None            [11]            [4, 8]         
